# Sim v1 (Up to date)
# 3375 data points written for 58 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (68,5 m/s):  "Iris Ultra Compact Parachute [Cd 2.2 (16.3 oz) 90.5 in^3]"
#
# Temps (s),Altitude (m),Altitude above sea level (m),Vitesse verticale (m/s),Vitesse totale (m/s),Accélération verticale (m/s²),Accélération totale (m/s²),Position à l'est du lancement (m),Position au nord du lancement (m),Distance latérale (m),Direction latérale (°),Vitesse latérale (m/s),Accélération latérale (m/s²),Latitude (° N),Longitude (° E),Angle d'attaque (°),Taux de roulis (°/s),Taux de tangage (°/s),Taux d'embardée (°/s),Orientation verticale (zénith) (°),Orientation latérale (azimut) (°),Masse (g),Masse du propergol (g),Moment d'inertie longitudinale (kg·m²),Moment d'inertie rotatif (kg·m²),Accélération Gravitationnelle (m/s²),Emplacement du CP (cm),Emplacement du CG (cm),Calibres marge de stabilité (​),Poussée (N),Thrust-to-weight ratio (​),Force de traînée (N),Coefficient de traînée (​),Coefficient de traînée de friction (​),Coefficient de traînée de pression (​),Coefficient de traînée de base (​),Coefficient de trainée axiale (​),Coefficient de force normale (​),Coefficient de moment de tangage (​),Coefficient de moment d'embardée  (​),Coefficient de force latérale  (​),Coefficient de moment de roulis  (​),Coefficient de forçage de roulis (​),Coefficient d'amortissement de roulis (​),Coefficient d'amortissement de tangage (​),Vitesse de vent (m/s),Wind direction (°),Température de l'air (°C),Pression atmosphérique (mbar),Air density (g/cm³),Vitesse du son (m/s),Mach number (​),Nombre de Reynolds (​),Longueur de référence (cm),Surface de référence (cm²),Pas de simulation du temps (s),Temps de calcul (s),Accélération de Coriolis (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.484,6.387,6.387,28.571,29.793,64.773,67.884,1.858,1.283e-5,1.858,90,8.448,20.313,28.61,-80.6,4.461,0,6.873,2.214e-4,74.236,90,2.319e4,1.276e4,6.665,0.083,9.792,227.011,199.515,1.833,1797.881,7.918,5.834,0.553,0.383,0.05,0.121,0.582,1.63,2.906,3.494e-4,0,0,0,0,0.081,2.078,90,14.958,1012.501,0.001,340.364,0.089,5.884e6,15,176.715,0.05,0.097,0.004
0.534,7.897,7.897,31.815,33.197,65.005,68.286,2.306,1.894e-5,2.306,90,9.478,20.913,28.61,-80.6,3.733,0,8.79,3.83e-4,73.845,90,2.313e4,1.271e4,6.658,0.083,9.792,228.024,199.468,1.904,1803.813,7.963,7.108,0.554,0.383,0.05,0.121,0.574,1.346,2.455,2.027e-4,0,0,0,0,0.108,2.031,90,14.949,1012.324,0.001,340.358,0.099,6.538e6,15,176.715,0.05,0.098,0.004
0.584,9.569,9.569,35.07,36.62,65.188,68.689,2.807,2.662e-5,2.807,89.999,10.541,21.649,28.61,-80.6,3.145,0,10.779,5.368e-4,73.356,90,2.308e4,1.265e4,6.651,0.083,9.792,228.868,199.421,1.963,1809.745,8.008,8.545,0.554,0.383,0.05,0.122,0.569,1.122,2.069,-3.886e-4,0,0,0,0,0.134,2.077,90,14.938,1012.128,0.001,340.351,0.11,7.201e6,15,176.715,0.05,0.1,0.005
0.634,11.404,11.404,38.333,40.063,65.303,69.096,3.361,3.606e-5,3.361,89.999,11.646,22.58,28.61,-80.6,2.466,0,12.741,0.001,72.767,90,2.303e4,1.26e4,6.644,0.083,9.792,229.864,199.374,2.033,1815.677,8.053,10.102,0.554,0.383,0.05,0.122,0.564,0.869,1.61,-4.81e-4,0,0,0,0,0.156,2.078,90,14.926,1011.913,0.001,340.344,0.12,7.865e6,15,176.715,0.044,0.102,0.005
0.678,13.172,13.172,41.236,43.139,65.338,69.464,3.901,4.61e-5,3.901,89.999,12.671,23.584,28.61,-80.6,1.767,0,14.261,0.002,72.166,90,2.298e4,1.255e4,6.638,0.083,9.792,230.92,199.331,2.106,1820.95,8.093,11.587,0.554,0.383,0.05,0.122,0.559,0.615,1.124,-1.117e-4,0,0,0,0,0.17,2.013,90,14.914,1011.705,0.001,340.337,0.129,8.455e6,15,176.715,0.05,0.104,0.006
0.728,15.316,15.316,44.566,46.684,67.832,72.529,4.565,5.943e-5,4.565,89.999,13.903,25.678,28.61,-80.6,1.071,0,15.496,0.004,71.42,90,2.292e4,1.25e4,6.631,0.083,9.792,232.001,199.282,2.181,1887.561,8.41,13.471,0.555,0.382,0.05,0.123,0.557,0.368,0.631,-3.321e-5,0,0,0,0,0.171,2.011,90,14.9,1011.454,0.001,340.329,0.139,9.139e6,15,176.715,0.03,0.105,0.006
0.758,16.684,16.684,46.623,48.883,69.289,74.374,4.994,6.855e-5,4.994,89.999,14.693,27.027,28.61,-80.6,0.668,0,15.982,0.006,70.947,90,2.289e4,1.246e4,6.627,0.083,9.792,232.643,199.252,2.226,1927.527,8.601,14.729,0.555,0.382,0.05,0.123,0.556,0.227,0.34,4.881e-4,0,0,0,0,0.166,2.019,90,14.892,1011.293,0.001,340.323,0.146,9.564e6,15,176.715,0.045,0.106,0.006
0.803,18.852,18.852,49.695,52.185,67.272,72.764,5.683,8.4e-5,5.683,89.999,15.925,27.733,28.61,-80.6,0.059,0,-16.084,0.08,70.222,90,2.284e4,1.241e4,6.62,0.083,9.792,233.631,199.207,2.295,1887.14,8.439,16.719,0.555,0.382,0.05,0.123,0.555,0.02,0.193,1.413e-4,0,0,0,0,-0.148,1.887,90,14.877,1011.039,0.001,340.315,0.155,1.019e7,15,176.715,0.05,0.108,0.007
0.853,21.42,21.42,53.003,55.764,65.027,70.963,6.514,1.039e-4,6.514,89.999,17.329,28.412,28.61,-80.6,0.635,0,-15.226,0.008,69.436,89.999,2.278e4,1.235e4,6.613,0.083,9.792,232.717,199.156,2.237,1842.266,8.259,19.1,0.556,0.382,0.05,0.124,0.556,0.216,0.601,-1.081e-4,0,0,0,0,-0.117,1.889,90,14.861,1010.738,0.001,340.305,0.166,1.088e7,15,176.715,0.05,0.11,0.007
0.903,24.151,24.151,56.253,59.306,64.973,71.468,7.417,1.272e-4,7.417,89.999,18.784,29.77,28.61,-80.6,1.029,3.441e-7,-13.474,0.005,68.715,89.999,2.272e4,1.229e4,6.606,0.083,9.792,232.108,199.103,2.2,1850.111,8.316,21.656,0.556,0.382,0.05,0.124,0.558,0.354,0.859,-1.641e-5,0,0,0,0,-0.081,1.975,90,14.843,1010.417,0.001,340.294,0.176,1.157e7,15,176.715,0.05,0.111,0.008
0.953,27.045,27.045,59.5,62.869,64.926,71.969,8.394,1.547e-4,8.394,89.999,20.305,31.05,28.61,-80.6,1.429,5.187e-7,-10.791,0.003,68.104,89.999,2.266e4,1.224e4,6.598,0.082,9.792,231.501,199.05,2.163,1857.956,8.373,24.375,0.556,0.382,0.05,0.125,0.56,0.495,1.117,-2.939e-4,0,0,0,0,-0.046,1.901,90,14.824,1010.078,0.001,340.282,0.187,1.225e7,15,176.715,0.05,0.113,0.008
1.003,30.101,30.101,62.747,66.454,64.98,72.449,9.448,1.869e-4,9.448,89.999,21.884,32.037,28.61,-80.6,1.609,4.073e-7,-7.242,0.002,67.65,89.999,2.26e4,1.218e4,6.591,0.082,9.792,231.24,198.997,2.15,1865.801,8.43,27.262,0.557,0.382,0.05,0.125,0.561,0.56,1.222,2.582e-4,0,0,0,0,-0.019,1.877,90,14.804,1009.72,0.001,340.27,0.197,1.294e7,15,176.715,0.05,0.114,0.009
1.053,33.32,33.32,66.001,70.06,65.207,72.897,10.583,2.248e-4,10.583,89.999,23.501,32.589,28.61,-80.6,1.505,0,-3.274,0.002,67.387,89.998,2.254e4,1.212e4,6.583,0.082,9.792,231.415,198.943,2.165,1873.646,8.488,30.302,0.557,0.381,0.05,0.126,0.561,0.523,1.136,2.902e-4,0,0,0,0,-0.003,1.978,90,14.783,1009.342,0.001,340.258,0.208,1.364e7,15,176.715,0.05,0.115,0.009
1.103,36.698,36.698,69.267,73.687,65.59,73.318,11.797,2.689e-4,11.797,89.999,25.135,32.764,28.61,-80.6,1.277,0,0.662,0.002,67.323,89.998,2.248e4,1.206e4,6.576,0.082,9.792,231.781,198.889,2.193,1881.484,8.546,33.467,0.558,0.381,0.05,0.126,0.561,0.442,0.969,-4.337e-5,0,0,0,0,1.266e-4,2.01,90,14.761,1008.946,0.001,340.244,0.219,1.434e7,15,176.715,0.05,0.117,0.01
1.153,40.244,40.244,72.56,77.34,66.16,73.706,13.095,3.201e-4,13.095,89.999,26.768,32.488,28.61,-80.6,0.869,0,4.03,0.001,67.444,89.998,2.242e4,1.2e4,6.568,0.082,9.792,232.434,198.835,2.24,1889.329,8.604,36.8,0.558,0.381,0.05,0.127,0.56,0.299,0.665,-4.388e-4,0,0,0,0,0.004,2.089,90,14.738,1008.53,0.001,340.23,0.23,1.505e7,15,176.715,0.05,0.119,0.01
