# Sim v1 (Up to date)
# 3375 data points written for 58 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (68,5 m/s):  "Iris Ultra Compact Parachute [Cd 2.2 (16.3 oz) 90.5 in^3]"
#
# Temps (s),Altitude (m),Altitude above sea level (m),Vitesse verticale (m/s),Vitesse totale (m/s),Accélération verticale (m/s²),Accélération totale (m/s²),Position à l'est du lancement (m),Position au nord du lancement (m),Distance latérale (m),Direction latérale (°),Vitesse latérale (m/s),Accélération latérale (m/s²),Latitude (° N),Longitude (° E),Angle d'attaque (°),Taux de roulis (°/s),Taux de tangage (°/s),Taux d'embardée (°/s),Orientation verticale (zénith) (°),Orientation latérale (azimut) (°),Masse (g),Masse du propergol (g),Moment d'inertie longitudinale (kg·m²),Moment d'inertie rotatif (kg·m²),Accélération Gravitationnelle (m/s²),Emplacement du CP (cm),Emplacement du CG (cm),Calibres marge de stabilité (​),Poussée (N),Thrust-to-weight ratio (​),Force de traînée (N),Coefficient de traînée (​),Coefficient de traînée de friction (​),Coefficient de traînée de pression (​),Coefficient de traînée de base (​),Coefficient de trainée axiale (​),Coefficient de force normale (​),Coefficient de moment de tangage (​),Coefficient de moment d'embardée  (​),Coefficient de force latérale  (​),Coefficient de moment de roulis  (​),Coefficient de forçage de roulis (​),Coefficient d'amortissement de roulis (​),Coefficient d'amortissement de tangage (​),Vitesse de vent (m/s),Wind direction (°),Température de l'air (°C),Pression atmosphérique (mbar),Air density (g/cm³),Vitesse du son (m/s),Mach number (​),Nombre de Reynolds (​),Longueur de référence (cm),Surface de référence (cm²),Pas de simulation du temps (s),Temps de calcul (s),Accélération de Coriolis (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
540.944,1225.955,1225.955,-5.137,5.576,-0.016,0.102,1642.281,2.103,1642.282,89.927,2.169,0.1,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,147.455,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.222,90,7.031,874.711,0.001,335.56,0.015,9.017e5,15,176.715,0.263,0.724,7.299e-4
541.207,1224.604,1224.604,-5.142,5.591,0.003,0.209,1641.707,2.103,1641.709,89.927,2.196,0.209,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,147.773,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.086,90,7.04,874.854,0.001,335.565,0.015,9.027e5,15,176.715,0.263,0.724,7.32e-4
541.469,1223.253,1223.253,-5.141,5.569,0.007,0.387,1641.138,2.103,1641.139,89.927,2.141,0.387,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,147.909,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.938,90,7.049,874.998,0.001,335.571,0.015,9.032e5,15,176.715,0.263,0.724,7.285e-4
541.732,1221.904,1221.904,-5.139,5.529,0.027,0.811,1640.589,2.103,1640.59,89.927,2.039,0.811,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,148.608,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.464,90,7.058,875.141,0.001,335.576,0.015,9.053e5,15,176.715,0.263,0.724,7.221e-4
541.994,1220.555,1220.555,-5.132,5.604,-0.031,0.127,1640.025,2.103,1640.027,89.927,2.252,0.123,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,147.234,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.188,90,7.066,875.285,0.001,335.581,0.015,9.012e5,15,176.715,0.263,0.724,7.346e-4
542.257,1219.204,1219.204,-5.14,5.599,0.02,0.621,1639.437,2.103,1639.438,89.927,2.22,0.62,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,148.292,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.895,90,7.075,875.429,0.001,335.586,0.015,9.044e5,15,176.715,0.263,0.724,7.334e-4
542.52,1217.855,1217.855,-5.135,5.532,-0.018,0.023,1638.876,2.103,1638.877,89.926,2.057,0.013,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,147.42,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.05,90,7.084,875.572,0.001,335.592,0.015,9.018e5,15,176.715,0.263,0.724,7.226e-4
542.783,1216.505,1216.505,-5.14,5.535,0.002,0.085,1638.336,2.103,1638.337,89.926,2.053,0.085,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,147.725,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.009,90,7.093,875.716,0.001,335.597,0.015,9.028e5,15,176.715,0.263,0.724,7.23e-4
543.045,1215.156,1215.156,-5.139,5.526,0.02,0.617,1637.799,2.103,1637.801,89.926,2.031,0.617,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,148.292,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.708,90,7.101,875.859,0.001,335.602,0.015,9.045e5,15,176.715,0.262,0.724,7.216e-4
543.308,1213.808,1213.808,-5.134,5.464,-0.017,0.159,1637.288,2.103,1637.289,89.926,1.869,0.159,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,147.462,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.786,90,7.11,876.003,0.001,335.608,0.015,9.02e5,15,176.715,0.263,0.724,7.116e-4
543.571,1212.458,1212.458,-5.138,5.454,0.015,0.544,1636.802,2.103,1636.803,89.926,1.828,0.544,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,148.148,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.543,90,7.119,876.146,0.001,335.613,0.015,9.042e5,15,176.715,0.262,0.724,7.098e-4
543.833,1211.11,1211.11,-5.134,5.404,-0.01,0.276,1636.341,2.103,1636.342,89.926,1.685,0.276,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,147.606,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.54,90,7.128,876.29,0.001,335.618,0.015,9.026e5,15,176.715,0.263,0.725,7.018e-4
544.096,1209.761,1209.761,-5.137,5.384,2.538e-4,0.235,1635.908,2.103,1635.909,89.926,1.613,0.235,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,147.743,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.736,90,7.137,876.433,0.001,335.624,0.015,9.03e5,15,176.715,0.262,0.725,6.985e-4
544.358,1208.413,1208.413,-5.137,5.403,0.003,0.304,1635.476,2.103,1635.478,89.926,1.674,0.304,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,147.815,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.834,90,7.145,876.577,0.001,335.629,0.015,9.033e5,15,176.715,0.262,0.725,7.016e-4
544.621,1207.065,1207.065,-5.136,5.427,0.006,0.433,1635.027,2.103,1635.028,89.926,1.754,0.433,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,147.933,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.981,90,7.154,876.72,0.001,335.634,0.015,9.037e5,15,176.715,0.262,0.725,7.056e-4
544.883,1205.717,1205.717,-5.134,5.464,-0.008,0.105,1634.551,2.103,1634.553,89.926,1.868,0.104,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,147.588,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.923,90,7.163,876.863,0.001,335.64,0.015,9.027e5,15,176.715,0.262,0.725,7.116e-4
545.146,1204.369,1204.369,-5.136,5.475,0.014,0.508,1634.058,2.103,1634.059,89.926,1.895,0.508,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,148.105,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.162,90,7.172,877.007,0.001,335.645,0.015,9.043e5,15,176.715,0.262,0.725,7.133e-4
545.408,1203.022,1203.022,-5.133,5.519,-0.011,0.136,1633.543,2.103,1633.544,89.926,2.028,0.136,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,147.544,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.957,90,7.18,877.15,0.001,335.65,0.015,9.026e5,15,176.715,0.263,0.725,7.207e-4
545.67,1201.674,1201.674,-5.136,5.509,7.972e-4,0.094,1633.015,2.103,1633.017,89.926,1.993,0.094,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,147.714,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.944,90,7.189,877.293,0.001,335.656,0.015,9.032e5,15,176.715,0.262,0.725,7.189e-4
545.933,1200.327,1200.327,-5.135,5.5,8.665e-4,0.023,1632.496,2.102,1632.497,89.926,1.968,0.023,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,147.709,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.956,90,7.198,877.437,0.001,335.661,0.015,9.032e5,15,176.715,0.262,0.725,7.174e-4
546.195,1198.98,1198.98,-5.135,5.497,0.001,0.038,1631.98,2.102,1631.982,89.926,1.962,0.038,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,147.717,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.943,90,7.207,877.58,0.001,335.666,0.015,9.032e5,15,176.715,0.262,0.725,7.171e-4
546.457,1197.633,1197.633,-5.135,5.493,0.003,0.202,1631.467,2.102,1631.468,89.926,1.952,0.202,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.788,0,188.788,-12.586,0,0,147.777,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.847,90,7.215,877.723,0.001,335.671,0.015,9.035e5,15,176.715,0.262,0.725,7.164e-4
546.72,1196.287,1196.287,-5.134,5.474,0.004,0.293,1630.962,2.102,1630.963,89.926,1.899,0.293,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.815,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.746,90,7.224,877.866,0.001,335.677,0.015,9.036e5,15,176.715,0.262,0.725,7.133e-4
546.982,1194.94,1194.94,-5.133,5.447,-0.003,0.074,1630.474,2.102,1630.475,89.926,1.822,0.074,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.658,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.784,90,7.233,878.01,0.001,335.682,0.015,9.032e5,15,176.715,0.262,0.726,7.089e-4
547.244,1193.594,1193.594,-5.134,5.441,0.013,0.486,1629.998,2.102,1630,89.926,1.803,0.486,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,148.076,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.058,90,7.242,878.153,0.001,335.687,0.015,9.045e5,15,176.715,0.262,0.726,7.08e-4
547.506,1192.248,1192.248,-5.13,5.482,-0.01,0.082,1629.509,2.102,1629.51,89.926,1.93,0.081,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.544,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.973,90,7.25,878.296,0.001,335.693,0.015,9.029e5,15,176.715,0.262,0.726,7.147e-4
547.769,1190.902,1190.902,-5.133,5.492,0.002,0.113,1629,2.102,1629.001,89.926,1.952,0.113,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.73,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.893,90,7.259,878.439,0.001,335.698,0.015,9.035e5,15,176.715,0.262,0.726,7.162e-4
548.031,1189.556,1189.556,-5.133,5.481,0.019,0.601,1628.492,2.102,1628.493,89.926,1.922,0.601,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,148.259,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.608,90,7.268,878.582,0.001,335.703,0.015,9.052e5,15,176.715,0.262,0.726,7.144e-4
548.293,1188.211,1188.211,-5.128,5.423,-0.016,0.146,1628.009,2.102,1628.01,89.926,1.765,0.145,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.472,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.689,90,7.277,878.725,0.001,335.709,0.015,9.028e5,15,176.715,0.262,0.726,7.052e-4
548.555,1186.865,1186.865,-5.132,5.415,0.014,0.518,1627.551,2.102,1627.552,89.926,1.727,0.518,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,148.113,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.998,90,7.285,878.869,0.001,335.714,0.015,9.048e5,15,176.715,0.262,0.726,7.037e-4
548.818,1185.52,1185.52,-5.128,5.456,-0.01,0.228,1627.08,2.102,1627.081,89.926,1.862,0.228,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.589,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.743,90,7.294,879.012,0.001,335.719,0.015,9.032e5,15,176.715,0.262,0.726,7.105e-4
549.08,1184.175,1184.175,-5.131,5.438,0.017,0.599,1626.6,2.102,1626.601,89.926,1.802,0.599,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,148.228,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.116,90,7.303,879.155,0.001,335.724,0.015,9.052e5,15,176.715,0.262,0.726,7.076e-4
549.342,1182.83,1182.83,-5.126,5.488,-0.016,0.112,1626.106,2.102,1626.108,89.926,1.959,0.111,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.46,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.018,90,7.312,879.298,0.001,335.73,0.015,9.029e5,15,176.715,0.262,0.726,7.159e-4
549.604,1181.485,1181.485,-5.131,5.503,0.006,0.311,1625.589,2.102,1625.59,89.926,1.989,0.311,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.854,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.826,90,7.32,879.441,0.001,335.735,0.015,9.041e5,15,176.715,0.262,0.726,7.181e-4
549.866,1180.141,1180.141,-5.129,5.472,-0.002,0.16,1625.078,2.102,1625.08,89.926,1.907,0.16,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.681,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.991,90,7.329,879.584,0.001,335.74,0.015,9.037e5,15,176.715,0.262,0.727,7.132e-4
550.128,1178.796,1178.796,-5.13,5.488,0.003,0.253,1624.573,2.102,1624.574,89.926,1.949,0.253,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.795,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.082,90,7.338,879.727,0.001,335.746,0.015,9.04e5,15,176.715,0.262,0.727,7.157e-4
550.391,1177.452,1177.452,-5.129,5.511,0.007,0.409,1624.053,2.102,1624.055,89.926,2.015,0.409,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.925,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.23,90,7.347,879.87,0.001,335.751,0.015,9.045e5,15,176.715,0.262,0.727,7.195e-4
550.653,1176.108,1176.108,-5.127,5.549,-0.007,0.05,1623.511,2.102,1623.513,89.926,2.122,0.05,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.591,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.097,90,7.355,880.013,0.001,335.756,0.015,9.035e5,15,176.715,0.262,0.727,7.258e-4
550.915,1174.764,1174.764,-5.129,5.546,0.003,0.2,1622.957,2.102,1622.958,89.926,2.109,0.2,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.776,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.215,90,7.364,880.156,0.001,335.762,0.015,9.041e5,15,176.715,0.262,0.727,7.252e-4
551.177,1173.421,1173.421,-5.128,5.565,0.006,0.356,1622.397,2.102,1622.399,89.926,2.162,0.356,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.879,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.976,90,7.373,880.299,0.001,335.767,0.015,9.044e5,15,176.715,0.262,0.727,7.284e-4
551.439,1172.077,1172.077,-5.127,5.528,-0.004,0.14,1621.843,2.102,1621.844,89.926,2.068,0.14,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.649,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.142,90,7.381,880.442,0.001,335.772,0.015,9.038e5,15,176.715,0.262,0.727,7.224e-4
551.701,1170.734,1170.734,-5.128,5.543,0.004,0.258,1621.296,2.102,1621.298,89.926,2.105,0.258,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.803,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.971,90,7.39,880.584,0.001,335.777,0.015,9.043e5,15,176.715,0.262,0.727,7.248e-4
551.963,1169.391,1169.391,-5.127,5.517,-7.117e-4,0.165,1620.754,2.102,1620.755,89.926,2.038,0.165,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.707,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.951,90,7.399,880.727,0.001,335.783,0.015,9.04e5,15,176.715,0.262,0.727,7.206e-4
552.225,1168.048,1168.048,-5.127,5.501,-7.984e-5,0.025,1620.226,2.102,1620.227,89.926,1.994,0.025,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.696,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.008,90,7.408,880.87,0.001,335.788,0.015,9.04e5,15,176.715,0.5,0.727,7.18e-4
552.725,1165.484,1165.484,-5.127,5.506,0.003,0.087,1619.226,2.102,1619.227,89.926,2.007,0.087,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.746,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.052,90,7.424,881.143,0.001,335.798,0.015,9.043e5,15,176.715,0.262,0.727,7.187e-4
552.986,1164.142,1164.142,-5.126,5.513,0.003,0.177,1618.697,2.102,1618.699,89.926,2.029,0.177,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.759,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.123,90,7.433,881.286,0.001,335.803,0.015,9.043e5,15,176.715,0.262,0.727,7.2e-4
553.248,1162.8,1162.8,-5.126,5.53,0.001,0.183,1618.16,2.102,1618.161,89.926,2.076,0.183,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.744,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.172,90,7.442,881.428,0.001,335.809,0.015,9.043e5,15,176.715,0.262,0.727,7.227e-4
553.51,1161.458,1161.458,-5.125,5.548,0.003,0.265,1617.61,2.102,1617.611,89.926,2.124,0.265,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.798,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.985,90,7.451,881.571,0.001,335.814,0.015,9.045e5,15,176.715,0.262,0.728,7.256e-4
553.772,1160.116,1160.116,-5.125,5.521,-0.002,0.003,1617.063,2.102,1617.064,89.926,2.054,0.002,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.663,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.053,90,7.459,881.714,0.001,335.819,0.015,9.041e5,15,176.715,0.262,0.728,7.213e-4
554.034,1158.774,1158.774,-5.125,5.521,0.005,0.269,1616.525,2.102,1616.526,89.926,2.054,0.269,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.828,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.913,90,7.468,881.857,0.001,335.824,0.015,9.047e5,15,176.715,0.262,0.728,7.213e-4
554.295,1157.432,1157.432,-5.124,5.494,0.001,0.267,1615.997,2.102,1615.998,89.925,1.983,0.267,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.771,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.123,90,7.477,881.999,0.001,335.83,0.015,9.046e5,15,176.715,0.262,0.728,7.17e-4
554.557,1156.091,1156.091,-5.124,5.52,-0.002,0.069,1615.468,2.102,1615.47,89.925,2.053,0.069,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.669,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.017,90,7.485,882.142,0.001,335.835,0.015,9.043e5,15,176.715,0.262,0.728,7.211e-4
554.819,1154.75,1154.75,-5.124,5.513,0.015,0.522,1614.933,2.102,1614.935,89.925,2.035,0.522,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,148.13,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.763,90,7.494,882.285,0.001,335.84,0.015,9.057e5,15,176.715,0.262,0.728,7.201e-4
555.081,1153.409,1153.409,-5.12,5.461,-0.009,0.264,1614.419,2.102,1614.42,89.925,1.898,0.264,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.617,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.037,90,7.503,882.427,0.001,335.846,0.015,9.042e5,15,176.715,0.262,0.728,7.116e-4
555.343,1152.068,1152.068,-5.123,5.487,-1.5e-4,0.204,1613.912,2.102,1613.914,89.925,1.968,0.204,28.61,-80.583,NaN,NaN,NaN,NaN,-0.442,89.9,1.509e4,4663.5,5.474,0.073,9.789,0,188.788,-12.586,0,0,147.728,581.367,0,581.367,0,581.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.075,90,7.512,882.57,0.001,335.851,0.015,9.046e5,15,176.715,0.262,0.728,7.159e-4
