# Sim v1 (Up to date)
# 3372 data points written for 12 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (68,9 m/s):  "Iris Ultra Compact Parachute [Cd 2.2 (16.3 oz) 90.5 in^3]"
#
# Temps (s),Altitude (m),Vitesse totale (m/s),Masse (g),Emplacement du CP (cm),Emplacement du CG (cm),Calibres marge de stabilité (​),Coefficient de force normale (​),Température de l'air (°C),Pression atmosphérique (mbar),Air density (g/cm³),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
581.339,1011.372,5.593,1.509e4,0,188.788,-12.586,NaN,8.426,897.536,0.001,0.015
581.6,1010.049,5.605,1.509e4,0,188.788,-12.586,NaN,8.435,897.677,0.001,0.015
581.86,1008.727,5.61,1.509e4,0,188.788,-12.586,NaN,8.443,897.817,0.001,0.015
582.119,1007.404,5.6,1.509e4,0,188.788,-12.586,NaN,8.452,897.958,0.001,0.015
582.379,1006.082,5.552,1.509e4,0,188.788,-12.586,NaN,8.46,898.099,0.001,0.015
582.639,1004.76,5.526,1.509e4,0,188.788,-12.586,NaN,8.469,898.239,0.001,0.015
582.899,1003.439,5.478,1.509e4,0,188.788,-12.586,NaN,8.478,898.38,0.001,0.015
583.159,1002.117,5.457,1.509e4,0,188.788,-12.586,NaN,8.486,898.52,0.001,0.015
583.419,1000.797,5.375,1.509e4,0,188.788,-12.586,NaN,8.495,898.661,0.001,0.015
583.679,999.474,5.372,1.509e4,0,188.788,-12.586,NaN,8.503,898.804,0.001,0.015
583.939,998.154,5.432,1.509e4,0,188.788,-12.586,NaN,8.512,898.952,0.001,0.015
584.199,996.832,5.457,1.509e4,0,188.788,-12.586,NaN,8.521,899.1,0.001,0.015
584.459,995.511,5.467,1.509e4,0,188.788,-12.586,NaN,8.529,899.247,0.001,0.015
584.718,994.191,5.473,1.509e4,0,188.788,-12.586,NaN,8.538,899.395,0.001,0.015
584.978,992.87,5.475,1.509e4,0,188.788,-12.586,NaN,8.546,899.542,0.001,0.015
585.238,991.55,5.487,1.509e4,0,188.788,-12.586,NaN,8.555,899.69,0.001,0.015
585.497,990.23,5.533,1.509e4,0,188.788,-12.586,NaN,8.564,899.837,0.001,0.015
585.757,988.91,5.555,1.509e4,0,188.788,-12.586,NaN,8.572,899.985,0.001,0.015
586.017,987.591,5.573,1.509e4,0,188.788,-12.586,NaN,8.581,900.132,0.001,0.015
586.277,986.271,5.543,1.509e4,0,188.788,-12.586,NaN,8.589,900.28,0.001,0.015
586.536,984.952,5.466,1.509e4,0,188.788,-12.586,NaN,8.598,900.427,0.001,0.015
586.796,983.632,5.468,1.509e4,0,188.788,-12.586,NaN,8.606,900.574,0.001,0.015
587.056,982.314,5.518,1.509e4,0,188.788,-12.586,NaN,8.615,900.722,0.001,0.015
587.315,980.995,5.528,1.509e4,0,188.788,-12.586,NaN,8.624,900.869,0.001,0.015
587.575,979.676,5.489,1.509e4,0,188.788,-12.586,NaN,8.632,901.016,0.001,0.015
587.834,978.359,5.403,1.509e4,0,188.788,-12.586,NaN,8.641,901.164,0.001,0.015
588.094,977.04,5.37,1.509e4,0,188.788,-12.586,NaN,8.649,901.311,0.001,0.015
588.354,975.722,5.422,1.509e4,0,188.788,-12.586,NaN,8.658,901.458,0.001,0.015
588.614,974.403,5.454,1.509e4,0,188.788,-12.586,NaN,8.666,901.605,0.001,0.015
588.873,973.086,5.424,1.509e4,0,188.788,-12.586,NaN,8.675,901.753,0.001,0.015
589.133,971.768,5.437,1.509e4,0,188.788,-12.586,NaN,8.684,901.9,0.001,0.015
589.392,970.451,5.462,1.509e4,0,188.788,-12.586,NaN,8.692,902.047,0.001,0.015
589.652,969.133,5.452,1.509e4,0,188.788,-12.586,NaN,8.701,902.194,0.001,0.015
589.911,967.816,5.447,1.509e4,0,188.788,-12.586,NaN,8.709,902.341,0.001,0.015
590.17,966.499,5.443,1.509e4,0,188.788,-12.586,NaN,8.718,902.489,0.001,0.015
590.43,965.182,5.439,1.509e4,0,188.788,-12.586,NaN,8.726,902.636,0.001,0.015
590.689,963.866,5.393,1.509e4,0,188.788,-12.586,NaN,8.735,902.783,0.001,0.015
590.948,962.55,5.446,1.509e4,0,188.788,-12.586,NaN,8.743,902.93,0.001,0.015
591.208,961.234,5.485,1.509e4,0,188.788,-12.586,NaN,8.752,903.077,0.001,0.015
591.467,959.917,5.49,1.509e4,0,188.788,-12.586,NaN,8.761,903.224,0.001,0.015
591.726,958.602,5.451,1.509e4,0,188.788,-12.586,NaN,8.769,903.371,0.001,0.015
591.986,957.286,5.463,1.509e4,0,188.788,-12.586,NaN,8.778,903.518,0.001,0.015
592.245,955.971,5.517,1.509e4,0,188.788,-12.586,NaN,8.786,903.665,0.001,0.015
592.504,954.655,5.528,1.509e4,0,188.788,-12.586,NaN,8.795,903.812,0.001,0.015
592.764,953.34,5.53,1.509e4,0,188.788,-12.586,NaN,8.803,903.959,0.001,0.015
593.023,952.025,5.546,1.509e4,0,188.788,-12.586,NaN,8.812,904.106,0.001,0.015
593.282,950.711,5.602,1.509e4,0,188.788,-12.586,NaN,8.82,904.253,0.001,0.015
593.541,949.396,5.62,1.509e4,0,188.788,-12.586,NaN,8.829,904.399,0.001,0.015
593.8,948.082,5.55,1.509e4,0,188.788,-12.586,NaN,8.837,904.546,0.001,0.015
594.06,946.767,5.568,1.509e4,0,188.788,-12.586,NaN,8.846,904.693,0.001,0.015
594.319,945.453,5.511,1.509e4,0,188.788,-12.586,NaN,8.855,904.84,0.001,0.015
594.578,944.139,5.484,1.509e4,0,188.788,-12.586,NaN,8.863,904.987,0.001,0.015
594.837,942.825,5.465,1.509e4,0,188.788,-12.586,NaN,8.872,905.134,0.001,0.015
595.096,941.511,5.483,1.509e4,0,188.788,-12.586,NaN,8.88,905.28,0.001,0.015
595.355,940.198,5.503,1.509e4,0,188.788,-12.586,NaN,8.889,905.427,0.001,0.015
595.614,938.885,5.523,1.509e4,0,188.788,-12.586,NaN,8.897,905.574,0.001,0.015
595.873,937.572,5.463,1.509e4,0,188.788,-12.586,NaN,8.906,905.72,0.001,0.015
596.132,936.259,5.464,1.509e4,0,188.788,-12.586,NaN,8.914,905.867,0.001,0.015
596.391,934.947,5.412,1.509e4,0,188.788,-12.586,NaN,8.923,906.014,0.001,0.015
596.65,933.634,5.373,1.509e4,0,188.788,-12.586,NaN,8.931,906.16,0.001,0.015
596.909,932.321,5.364,1.509e4,0,188.788,-12.586,NaN,8.94,906.307,0.001,0.015
597.168,931.009,5.352,1.509e4,0,188.788,-12.586,NaN,8.948,906.454,0.001,0.015
597.427,929.697,5.365,1.509e4,0,188.788,-12.586,NaN,8.957,906.6,0.001,0.015
597.686,928.386,5.421,1.509e4,0,188.788,-12.586,NaN,8.965,906.747,0.001,0.015
597.945,927.073,5.418,1.509e4,0,188.788,-12.586,NaN,8.974,906.893,0.001,0.015
598.204,925.762,5.432,1.509e4,0,188.788,-12.586,NaN,8.983,907.04,0.001,0.015
598.463,924.451,5.455,1.509e4,0,188.788,-12.586,NaN,8.991,907.186,0.001,0.015
598.721,923.139,5.465,1.509e4,0,188.788,-12.586,NaN,9,907.333,0.001,0.015
598.98,921.828,5.448,1.509e4,0,188.788,-12.586,NaN,9.008,907.479,0.001,0.015
599.239,920.518,5.472,1.509e4,0,188.788,-12.586,NaN,9.017,907.626,0.001,0.015
599.498,919.207,5.506,1.509e4,0,188.788,-12.586,NaN,9.025,907.772,0.001,0.015
599.757,917.896,5.512,1.509e4,0,188.788,-12.586,NaN,9.034,907.919,0.001,0.015
600.015,916.586,5.52,1.509e4,0,188.788,-12.586,NaN,9.042,908.065,0.001,0.015
600.274,915.276,5.521,1.509e4,0,188.788,-12.586,NaN,9.051,908.212,0.001,0.015
600.533,913.966,5.563,1.509e4,0,188.788,-12.586,NaN,9.059,908.358,0.001,0.015
600.791,912.656,5.594,1.509e4,0,188.788,-12.586,NaN,9.068,908.504,0.001,0.015
601.291,910.125,5.642,1.509e4,0,188.788,-12.586,NaN,9.084,908.787,0.001,0.015
601.55,908.816,5.566,1.509e4,0,188.788,-12.586,NaN,9.093,908.933,0.001,0.015
601.809,907.508,5.464,1.509e4,0,188.788,-12.586,NaN,9.101,909.079,0.001,0.015
602.068,906.198,5.392,1.509e4,0,188.788,-12.586,NaN,9.11,909.226,0.001,0.015
602.327,904.889,5.401,1.509e4,0,188.788,-12.586,NaN,9.118,909.372,0.001,0.015
602.585,903.58,5.363,1.509e4,0,188.788,-12.586,NaN,9.127,909.518,0.001,0.015
602.844,902.272,5.342,1.509e4,0,188.788,-12.586,NaN,9.135,909.664,0.001,0.015
603.103,900.964,5.295,1.509e4,0,188.788,-12.586,NaN,9.144,909.811,0.001,0.015
603.361,899.655,5.315,1.509e4,0,188.788,-12.586,NaN,9.152,909.957,0.001,0.015
603.62,898.347,5.306,1.509e4,0,188.788,-12.586,NaN,9.161,910.103,0.001,0.015
603.878,897.04,5.324,1.509e4,0,188.788,-12.586,NaN,9.169,910.249,0.001,0.015
604.137,895.732,5.316,1.509e4,0,188.788,-12.586,NaN,9.178,910.395,0.001,0.015
604.395,894.425,5.345,1.509e4,0,188.788,-12.586,NaN,9.186,910.541,0.001,0.015
604.654,893.118,5.408,1.509e4,0,188.788,-12.586,NaN,9.195,910.687,0.001,0.015
604.912,891.811,5.464,1.509e4,0,188.788,-12.586,NaN,9.203,910.833,0.001,0.015
605.171,890.504,5.432,1.509e4,0,188.788,-12.586,NaN,9.212,910.979,0.001,0.015
605.429,889.197,5.459,1.509e4,0,188.788,-12.586,NaN,9.22,911.125,0.001,0.015
605.688,887.89,5.469,1.509e4,0,188.788,-12.586,NaN,9.229,911.271,0.001,0.015
605.946,886.584,5.434,1.509e4,0,188.788,-12.586,NaN,9.237,911.417,0.001,0.015
606.204,885.277,5.437,1.509e4,0,188.788,-12.586,NaN,9.246,911.563,0.001,0.015
606.463,883.971,5.432,1.509e4,0,188.788,-12.586,NaN,9.254,911.709,0.001,0.015
606.721,882.666,5.408,1.509e4,0,188.788,-12.586,NaN,9.263,911.855,0.001,0.015
606.979,881.36,5.396,1.509e4,0,188.788,-12.586,NaN,9.271,912.001,0.001,0.015
607.237,880.054,5.418,1.509e4,0,188.788,-12.586,NaN,9.28,912.147,0.001,0.015
607.496,878.749,5.457,1.509e4,0,188.788,-12.586,NaN,9.288,912.292,0.001,0.015
607.754,877.444,5.483,1.509e4,0,188.788,-12.586,NaN,9.297,912.438,0.001,0.015
608.012,876.139,5.514,1.509e4,0,188.788,-12.586,NaN,9.305,912.584,0.001,0.015
608.27,874.834,5.501,1.509e4,0,188.788,-12.586,NaN,9.314,912.73,0.001,0.015
608.528,873.529,5.463,1.509e4,0,188.788,-12.586,NaN,9.322,912.876,0.001,0.015
608.787,872.225,5.447,1.509e4,0,188.788,-12.586,NaN,9.331,913.021,0.001,0.015
609.045,870.92,5.468,1.509e4,0,188.788,-12.586,NaN,9.339,913.167,0.001,0.015
609.303,869.616,5.459,1.509e4,0,188.788,-12.586,NaN,9.347,913.313,0.001,0.015
609.561,868.312,5.433,1.509e4,0,188.788,-12.586,NaN,9.356,913.459,0.001,0.015
609.819,867.008,5.447,1.509e4,0,188.788,-12.586,NaN,9.364,913.604,0.001,0.015
610.077,865.705,5.48,1.509e4,0,188.788,-12.586,NaN,9.373,913.75,0.001,0.015
610.335,864.401,5.498,1.509e4,0,188.788,-12.586,NaN,9.381,913.896,0.001,0.015
610.593,863.098,5.509,1.509e4,0,188.788,-12.586,NaN,9.39,914.041,0.001,0.015
610.851,861.795,5.458,1.509e4,0,188.788,-12.586,NaN,9.398,914.187,0.001,0.015
611.109,860.492,5.403,1.509e4,0,188.788,-12.586,NaN,9.407,914.332,0.001,0.015
611.367,859.189,5.399,1.509e4,0,188.788,-12.586,NaN,9.415,914.478,0.001,0.015
611.625,857.886,5.353,1.509e4,0,188.788,-12.586,NaN,9.424,914.623,0.001,0.015
611.884,856.583,5.339,1.509e4,0,188.788,-12.586,NaN,9.432,914.769,0.001,0.015
612.141,855.281,5.332,1.509e4,0,188.788,-12.586,NaN,9.441,914.914,0.001,0.015
612.399,853.979,5.364,1.509e4,0,188.788,-12.586,NaN,9.449,915.06,0.001,0.015
612.657,852.677,5.413,1.509e4,0,188.788,-12.586,NaN,9.458,915.205,0.001,0.015
612.915,851.375,5.456,1.509e4,0,188.788,-12.586,NaN,9.466,915.351,0.001,0.015
613.173,850.074,5.418,1.509e4,0,188.788,-12.586,NaN,9.475,915.496,0.001,0.015
613.431,848.772,5.405,1.509e4,0,188.788,-12.586,NaN,9.483,915.642,0.001,0.015
613.689,847.471,5.372,1.509e4,0,188.788,-12.586,NaN,9.491,915.787,0.001,0.015
613.947,846.17,5.338,1.509e4,0,188.788,-12.586,NaN,9.5,915.932,0.001,0.015
614.205,844.869,5.362,1.509e4,0,188.788,-12.586,NaN,9.508,916.078,0.001,0.015
614.705,842.346,5.399,1.509e4,0,188.788,-12.586,NaN,9.525,916.36,0.001,0.015
614.963,841.045,5.399,1.509e4,0,188.788,-12.586,NaN,9.533,916.505,0.001,0.015
615.22,839.745,5.414,1.509e4,0,188.788,-12.586,NaN,9.542,916.65,0.001,0.015
615.478,838.445,5.392,1.509e4,0,188.788,-12.586,NaN,9.55,916.796,0.001,0.015
615.736,837.145,5.367,1.509e4,0,188.788,-12.586,NaN,9.559,916.941,0.001,0.015
615.993,835.845,5.4,1.509e4,0,188.788,-12.586,NaN,9.567,917.086,0.001,0.015
616.251,834.545,5.402,1.509e4,0,188.788,-12.586,NaN,9.575,917.231,0.001,0.015
616.509,833.246,5.385,1.509e4,0,188.788,-12.586,NaN,9.584,917.376,0.001,0.015
616.766,831.946,5.381,1.509e4,0,188.788,-12.586,NaN,9.592,917.522,0.001,0.015
617.024,830.647,5.375,1.509e4,0,188.788,-12.586,NaN,9.601,917.667,0.001,0.015
617.281,829.348,5.372,1.509e4,0,188.788,-12.586,NaN,9.609,917.812,0.001,0.015
617.539,828.049,5.395,1.509e4,0,188.788,-12.586,NaN,9.618,917.957,0.001,0.015
618.039,825.528,5.356,1.509e4,0,188.788,-12.586,NaN,9.634,918.239,0.001,0.015
618.297,824.23,5.383,1.509e4,0,188.788,-12.586,NaN,9.643,918.384,0.001,0.015
618.554,822.932,5.384,1.509e4,0,188.788,-12.586,NaN,9.651,918.529,0.001,0.015
618.812,821.634,5.414,1.509e4,0,188.788,-12.586,NaN,9.659,918.674,0.001,0.015
619.069,820.336,5.45,1.509e4,0,188.788,-12.586,NaN,9.668,918.819,0.001,0.015
619.327,819.038,5.464,1.509e4,0,188.788,-12.586,NaN,9.676,918.964,0.001,0.015
619.584,817.741,5.444,1.509e4,0,188.788,-12.586,NaN,9.685,919.109,0.001,0.015
619.841,816.444,5.401,1.509e4,0,188.788,-12.586,NaN,9.693,919.254,0.001,0.015
620.099,815.147,5.361,1.509e4,0,188.788,-12.586,NaN,9.702,919.398,0.001,0.015
620.356,813.849,5.338,1.509e4,0,188.788,-12.586,NaN,9.71,919.543,0.001,0.015
620.614,812.553,5.365,1.509e4,0,188.788,-12.586,NaN,9.718,919.688,0.001,0.015
620.871,811.256,5.333,1.509e4,0,188.788,-12.586,NaN,9.727,919.833,0.001,0.015
621.129,809.959,5.31,1.509e4,0,188.788,-12.586,NaN,9.735,919.978,0.001,0.015
621.386,808.663,5.353,1.509e4,0,188.788,-12.586,NaN,9.744,920.123,0.001,0.015
621.644,807.367,5.363,1.509e4,0,188.788,-12.586,NaN,9.752,920.268,0.001,0.015
621.901,806.071,5.359,1.509e4,0,188.788,-12.586,NaN,9.761,920.413,0.001,0.015
622.158,804.775,5.394,1.509e4,0,188.788,-12.586,NaN,9.769,920.557,0.001,0.015
622.415,803.479,5.381,1.509e4,0,188.788,-12.586,NaN,9.777,920.702,0.001,0.015
622.673,802.184,5.375,1.509e4,0,188.788,-12.586,NaN,9.786,920.847,0.001,0.015
622.93,800.888,5.373,1.509e4,0,188.788,-12.586,NaN,9.794,920.992,0.001,0.015
623.187,799.593,5.339,1.509e4,0,188.788,-12.586,NaN,9.803,921.136,0.001,0.015
623.444,798.298,5.332,1.509e4,0,188.788,-12.586,NaN,9.811,921.281,0.001,0.015
623.701,797.003,5.355,1.509e4,0,188.788,-12.586,NaN,9.819,921.426,0.001,0.015
623.959,795.709,5.4,1.509e4,0,188.788,-12.586,NaN,9.828,921.57,0.001,0.015
624.216,794.414,5.429,1.509e4,0,188.788,-12.586,NaN,9.836,921.715,0.001,0.015
624.473,793.12,5.435,1.509e4,0,188.788,-12.586,NaN,9.845,921.859,0.001,0.015
624.73,791.825,5.433,1.509e4,0,188.788,-12.586,NaN,9.853,922.004,0.001,0.015
624.987,790.531,5.421,1.509e4,0,188.788,-12.586,NaN,9.862,922.149,0.001,0.015
625.244,789.238,5.452,1.509e4,0,188.788,-12.586,NaN,9.87,922.293,0.001,0.015
625.501,787.945,5.386,1.509e4,0,188.788,-12.586,NaN,9.878,922.438,0.001,0.015
625.759,786.65,5.382,1.509e4,0,188.788,-12.586,NaN,9.887,922.582,0.001,0.015
626.016,785.357,5.392,1.509e4,0,188.788,-12.586,NaN,9.895,922.727,0.001,0.015
626.273,784.064,5.372,1.509e4,0,188.788,-12.586,NaN,9.904,922.871,0.001,0.015
626.53,782.771,5.37,1.509e4,0,188.788,-12.586,NaN,9.912,923.016,0.001,0.015
626.787,781.478,5.363,1.509e4,0,188.788,-12.586,NaN,9.92,923.16,0.001,0.015
627.044,780.185,5.378,1.509e4,0,188.788,-12.586,NaN,9.929,923.305,0.001,0.015
627.301,778.892,5.377,1.509e4,0,188.788,-12.586,NaN,9.937,923.449,0.001,0.015
627.558,777.6,5.401,1.509e4,0,188.788,-12.586,NaN,9.946,923.593,0.001,0.015
627.815,776.308,5.44,1.509e4,0,188.788,-12.586,NaN,9.954,923.738,0.001,0.015
628.072,775.016,5.452,1.509e4,0,188.788,-12.586,NaN,9.962,923.882,0.001,0.015
628.328,773.724,5.401,1.509e4,0,188.788,-12.586,NaN,9.971,924.026,0.001,0.015
628.585,772.432,5.366,1.509e4,0,188.788,-12.586,NaN,9.979,924.171,0.001,0.015
628.842,771.141,5.349,1.509e4,0,188.788,-12.586,NaN,9.988,924.315,0.001,0.015
629.099,769.849,5.371,1.509e4,0,188.788,-12.586,NaN,9.996,924.459,0.001,0.015
629.356,768.558,5.319,1.509e4,0,188.788,-12.586,NaN,10.004,924.604,0.001,0.015
629.613,767.267,5.372,1.509e4,0,188.788,-12.586,NaN,10.013,924.748,0.001,0.015
629.87,765.976,5.418,1.509e4,0,188.788,-12.586,NaN,10.021,924.892,0.001,0.015
630.127,764.685,5.461,1.509e4,0,188.788,-12.586,NaN,10.03,925.036,0.001,0.015
630.384,763.394,5.471,1.509e4,0,188.788,-12.586,NaN,10.038,925.181,0.001,0.015
630.64,762.104,5.48,1.509e4,0,188.788,-12.586,NaN,10.046,925.325,0.001,0.015
630.897,760.815,5.401,1.509e4,0,188.788,-12.586,NaN,10.055,925.469,0.001,0.015
631.154,759.524,5.375,1.509e4,0,188.788,-12.586,NaN,10.063,925.613,0.001,0.015
631.411,758.234,5.355,1.509e4,0,188.788,-12.586,NaN,10.071,925.757,0.001,0.015
631.668,756.944,5.407,1.509e4,0,188.788,-12.586,NaN,10.08,925.901,0.001,0.015
631.925,755.656,5.501,1.509e4,0,188.788,-12.586,NaN,10.088,926.045,0.001,0.015
632.182,754.365,5.514,1.509e4,0,188.788,-12.586,NaN,10.097,926.189,0.001,0.015
632.438,753.076,5.49,1.509e4,0,188.788,-12.586,NaN,10.105,926.333,0.001,0.015
632.695,751.786,5.5,1.509e4,0,188.788,-12.586,NaN,10.113,926.477,0.001,0.015
632.952,750.497,5.482,1.509e4,0,188.788,-12.586,NaN,10.122,926.621,0.001,0.015
633.208,749.209,5.519,1.509e4,0,188.788,-12.586,NaN,10.13,926.765,0.001,0.015
633.465,747.92,5.53,1.509e4,0,188.788,-12.586,NaN,10.139,926.909,0.001,0.015
633.721,746.632,5.471,1.509e4,0,188.788,-12.586,NaN,10.147,927.053,0.001,0.015
633.978,745.343,5.438,1.509e4,0,188.788,-12.586,NaN,10.155,927.197,0.001,0.015
634.235,744.055,5.444,1.509e4,0,188.788,-12.586,NaN,10.164,927.341,0.001,0.015
634.491,742.767,5.429,1.509e4,0,188.788,-12.586,NaN,10.172,927.485,0.001,0.015
634.748,741.479,5.451,1.509e4,0,188.788,-12.586,NaN,10.18,927.629,0.001,0.015
635.004,740.191,5.462,1.509e4,0,188.788,-12.586,NaN,10.189,927.773,0.001,0.015
635.26,738.904,5.459,1.509e4,0,188.788,-12.586,NaN,10.197,927.917,0.001,0.015
635.517,737.617,5.491,1.509e4,0,188.788,-12.586,NaN,10.205,928.061,0.001,0.015
635.773,736.329,5.49,1.509e4,0,188.788,-12.586,NaN,10.214,928.204,0.001,0.015
636.03,735.042,5.472,1.509e4,0,188.788,-12.586,NaN,10.222,928.348,0.001,0.015
636.286,733.755,5.487,1.509e4,0,188.788,-12.586,NaN,10.231,928.492,0.001,0.015
636.786,731.246,5.482,1.509e4,0,188.788,-12.586,NaN,10.247,928.772,0.001,0.015
637.042,729.961,5.389,1.509e4,0,188.788,-12.586,NaN,10.255,928.916,0.001,0.015
637.299,728.673,5.368,1.509e4,0,188.788,-12.586,NaN,10.264,929.06,0.001,0.015
637.555,727.387,5.346,1.509e4,0,188.788,-12.586,NaN,10.272,929.203,0.001,0.015
637.812,726.101,5.371,1.509e4,0,188.788,-12.586,NaN,10.28,929.347,0.001,0.015
638.068,724.816,5.387,1.509e4,0,188.788,-12.586,NaN,10.289,929.491,0.001,0.015
638.324,723.53,5.39,1.509e4,0,188.788,-12.586,NaN,10.297,929.634,0.001,0.015
638.581,722.245,5.365,1.509e4,0,188.788,-12.586,NaN,10.305,929.778,0.001,0.015
638.837,720.959,5.366,1.509e4,0,188.788,-12.586,NaN,10.314,929.922,0.001,0.015
639.093,719.674,5.32,1.509e4,0,188.788,-12.586,NaN,10.322,930.065,0.001,0.015
639.349,718.389,5.329,1.509e4,0,188.788,-12.586,NaN,10.33,930.209,0.001,0.015
639.605,717.104,5.31,1.509e4,0,188.788,-12.586,NaN,10.339,930.352,0.001,0.015
639.862,715.82,5.338,1.509e4,0,188.788,-12.586,NaN,10.347,930.496,0.001,0.015
640.118,714.535,5.316,1.509e4,0,188.788,-12.586,NaN,10.356,930.639,0.001,0.015
640.374,713.251,5.355,1.509e4,0,188.788,-12.586,NaN,10.364,930.783,0.001,0.015
640.63,711.967,5.392,1.509e4,0,188.788,-12.586,NaN,10.372,930.926,0.001,0.015
640.886,710.683,5.422,1.509e4,0,188.788,-12.586,NaN,10.381,931.07,0.001,0.015
641.143,709.399,5.439,1.509e4,0,188.788,-12.586,NaN,10.389,931.213,0.001,0.015
641.399,708.115,5.41,1.509e4,0,188.788,-12.586,NaN,10.397,931.357,0.001,0.015
641.655,706.832,5.394,1.509e4,0,188.788,-12.586,NaN,10.406,931.5,0.001,0.015
641.911,705.549,5.432,1.509e4,0,188.788,-12.586,NaN,10.414,931.643,0.001,0.015
642.167,704.266,5.39,1.509e4,0,188.788,-12.586,NaN,10.422,931.787,0.001,0.015
642.423,702.983,5.306,1.509e4,0,188.788,-12.586,NaN,10.431,931.93,0.001,0.015
642.679,701.7,5.347,1.509e4,0,188.788,-12.586,NaN,10.439,932.073,0.001,0.015
642.935,700.417,5.365,1.509e4,0,188.788,-12.586,NaN,10.447,932.217,0.001,0.015
643.191,699.134,5.403,1.509e4,0,188.788,-12.586,NaN,10.456,932.36,0.001,0.015
643.447,697.852,5.374,1.509e4,0,188.788,-12.586,NaN,10.464,932.503,0.001,0.015
643.703,696.57,5.339,1.509e4,0,188.788,-12.586,NaN,10.472,932.647,0.001,0.015
643.959,695.288,5.365,1.509e4,0,188.788,-12.586,NaN,10.481,932.79,0.001,0.015
644.215,694.006,5.41,1.509e4,0,188.788,-12.586,NaN,10.489,932.933,0.001,0.015
644.471,692.724,5.436,1.509e4,0,188.788,-12.586,NaN,10.497,933.076,0.001,0.015
644.727,691.442,5.431,1.509e4,0,188.788,-12.586,NaN,10.506,933.219,0.001,0.015
644.983,690.161,5.398,1.509e4,0,188.788,-12.586,NaN,10.514,933.363,0.001,0.015
645.239,688.88,5.356,1.509e4,0,188.788,-12.586,NaN,10.522,933.506,0.001,0.015
645.495,687.598,5.339,1.509e4,0,188.788,-12.586,NaN,10.531,933.649,0.001,0.015
645.75,686.317,5.32,1.509e4,0,188.788,-12.586,NaN,10.539,933.792,0.001,0.015
646.006,685.037,5.323,1.509e4,0,188.788,-12.586,NaN,10.547,933.935,0.001,0.015
646.262,683.756,5.342,1.509e4,0,188.788,-12.586,NaN,10.556,934.078,0.001,0.015
646.518,682.476,5.367,1.509e4,0,188.788,-12.586,NaN,10.564,934.221,0.001,0.015
646.773,681.195,5.4,1.509e4,0,188.788,-12.586,NaN,10.572,934.364,0.001,0.015
647.029,679.915,5.392,1.509e4,0,188.788,-12.586,NaN,10.581,934.507,0.001,0.015
647.285,678.635,5.398,1.509e4,0,188.788,-12.586,NaN,10.589,934.65,0.001,0.015
647.541,677.355,5.369,1.509e4,0,188.788,-12.586,NaN,10.597,934.793,0.001,0.015
647.796,676.075,5.361,1.509e4,0,188.788,-12.586,NaN,10.606,934.936,0.001,0.015
648.052,674.797,5.293,1.509e4,0,188.788,-12.586,NaN,10.614,935.079,0.001,0.015
648.308,673.517,5.318,1.509e4,0,188.788,-12.586,NaN,10.622,935.222,0.001,0.015
648.563,672.237,5.341,1.509e4,0,188.788,-12.586,NaN,10.63,935.365,0.001,0.015
648.819,670.959,5.382,1.509e4,0,188.788,-12.586,NaN,10.639,935.508,0.001,0.015
649.075,669.68,5.433,1.509e4,0,188.788,-12.586,NaN,10.647,935.651,0.001,0.015
649.331,668.401,5.412,1.509e4,0,188.788,-12.586,NaN,10.655,935.794,0.001,0.015
649.586,667.123,5.34,1.509e4,0,188.788,-12.586,NaN,10.664,935.937,0.001,0.015
649.842,665.844,5.339,1.509e4,0,188.788,-12.586,NaN,10.672,936.079,0.001,0.015
650.097,664.565,5.334,1.509e4,0,188.788,-12.586,NaN,10.68,936.222,0.001,0.015
650.353,663.287,5.336,1.509e4,0,188.788,-12.586,NaN,10.689,936.365,0.001,0.015
650.608,662.009,5.358,1.509e4,0,188.788,-12.586,NaN,10.697,936.508,0.001,0.015
650.864,660.731,5.363,1.509e4,0,188.788,-12.586,NaN,10.705,936.651,0.001,0.015
651.119,659.454,5.342,1.509e4,0,188.788,-12.586,NaN,10.714,936.793,0.001,0.015
651.375,658.176,5.33,1.509e4,0,188.788,-12.586,NaN,10.722,936.936,0.001,0.015
651.63,656.899,5.313,1.509e4,0,188.788,-12.586,NaN,10.73,937.079,0.001,0.015
651.886,655.622,5.331,1.509e4,0,188.788,-12.586,NaN,10.738,937.221,0.001,0.015
652.141,654.345,5.384,1.509e4,0,188.788,-12.586,NaN,10.747,937.364,0.001,0.015
652.397,653.068,5.389,1.509e4,0,188.788,-12.586,NaN,10.755,937.507,0.001,0.015
652.652,651.791,5.412,1.509e4,0,188.788,-12.586,NaN,10.763,937.649,0.001,0.015
652.907,650.515,5.444,1.509e4,0,188.788,-12.586,NaN,10.772,937.792,0.001,0.015
653.163,649.238,5.447,1.509e4,0,188.788,-12.586,NaN,10.78,937.935,0.001,0.015
653.418,647.962,5.45,1.509e4,0,188.788,-12.586,NaN,10.788,938.077,0.001,0.015
653.673,646.686,5.395,1.509e4,0,188.788,-12.586,NaN,10.797,938.22,0.001,0.015
653.929,645.41,5.394,1.509e4,0,188.788,-12.586,NaN,10.805,938.362,0.001,0.015
