# Sim v1 (Up to date)
# 3372 data points written for 12 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (68,9 m/s):  "Iris Ultra Compact Parachute [Cd 2.2 (16.3 oz) 90.5 in^3]"
#
# Temps (s),Altitude (m),Vitesse totale (m/s),Masse (g),Emplacement du CP (cm),Emplacement du CG (cm),Calibres marge de stabilité (​),Coefficient de force normale (​),Température de l'air (°C),Pression atmosphérique (mbar),Air density (g/cm³),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
5.89,1162.025,420.634,1.63e4,241.458,191.076,3.359,0.001,7.447,881.511,0.001,1.255
5.94,1180.889,423.059,1.624e4,241.4,190.966,3.362,0.003,7.324,879.504,0.001,1.263
5.99,1199.855,425.454,1.618e4,241.343,190.855,3.366,0.002,7.201,877.487,0.001,1.27
6.04,1218.923,427.818,1.611e4,241.273,190.743,3.369,0.004,7.077,875.459,0.001,1.277
6.09,1238.091,430.15,1.605e4,241.201,190.63,3.371,0.005,6.952,873.42,0.001,1.285
6.105,1243.86,430.843,1.603e4,241.178,190.596,3.372,0.005,6.915,872.806,0.001,1.287
6.127,1252.531,431.872,1.601e4,241.154,190.548,3.374,0.003,6.859,871.884,0.001,1.29
6.161,1265.574,433.39,1.597e4,241.102,190.476,3.375,0.003,6.774,870.496,0.001,1.295
6.211,1284.974,435.582,1.591e4,241.024,190.369,3.377,0.004,6.648,868.433,0.001,1.302
6.261,1304.466,437.702,1.585e4,240.934,190.261,3.378,0.007,6.521,866.359,0.001,1.308
6.311,1324.046,439.751,1.579e4,240.843,190.153,3.379,0.009,6.394,864.276,0.001,1.314
6.361,1343.711,441.728,1.573e4,240.764,190.043,3.381,0.008,6.266,862.185,0.001,1.321
6.411,1363.458,443.634,1.567e4,240.627,189.933,3.38,0.022,6.138,860.084,0.001,1.327
6.432,1371.666,444.404,1.565e4,240.632,189.887,3.383,0.011,6.084,859.211,0.001,1.329
6.446,1377.227,444.917,1.563e4,240.596,189.856,3.383,0.014,6.048,858.62,0.001,1.331
6.467,1385.58,445.668,1.561e4,240.547,189.813,3.382,0.017,5.994,857.731,0.001,1.333
6.492,1395.462,446.517,1.558e4,240.538,189.763,3.385,0.008,5.929,856.68,0.001,1.336
